t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9000;0.0203036;199.304;660.433;30.336;55.8102;6.51547;60.0692;0.000325552;0.000206872;49.1959;103.2;103.033;0;0;0;0;0;0;0.536148;0.58974;1.12752;1.53455;4.74156;0.5937;0.104184;0.123519;0.104874;0.31008;1.57494;0;0;0;0;0;0;0;0;0;6.72845;2.62686;0;1.35262;1.07868;2.18685;3.08865;17.9373;10.6206;5.03749;1.10622e-16;0;0;0;0;1.79387e-12;0.183078;1.19395;6.02137
9001;0.0218111;202.696;656.279;68.4661;51.5073;9.21059;59.4433;0.000969504;0.000528337;34.4543;100.685;102.547;0;0;0;0;0;0;0.0831361;0.0935654;0.216601;0.311686;8.69291;2.58225;1.0755;1.03647;0.855664;0.958912;2.9031;0;0;0;0;0;0;0;0;0;6.48624;2.08434;0;0.976113;0.731954;1.54751;2.24437;13.489;7.62005;3.9517;9.35374e-17;0;0;0;0;1.69124e-12;0.167049;1.08683;5.49304
9002;0.0298073;204.803;630.918;210.941;33.695;22.9138;55.621;0.00691388;0.00312079;11.0487;78.5191;80.3309;0;0;0;0;0;0;0.0128698;0.0148306;0.0416618;0.0635088;6.14497;8.53389;11.8669;10.0434;8.11859;3.34364;5.4902;0;0;0;0;0;0;0;0;0;8.54752;2.48697;0;1.08501;0.747392;1.57372;2.27431;13.8125;7.43077;3.89279;9.38703e-17;0;0;0;0;1.59998e-12;0.152036;0.986491;4.97041
9003;0.0724438;202.524;596.519;303.29;9.52743;35.2689;50.276;10.3908;3.02161;12.3928;22.6017;14.1018;0;0;0;0;0;0;0.00234291;0.00273402;0.00911956;0.0147875;1.34152;7.0941;29.7083;26.9363;22.4368;6.52433;8.20567;0;0;0;0;0;0;0;0;0;10.058;5.1172;0;2.82869;2.06469;4.0057;5.31187;30.1639;15.3993;6.2852;1.28774e-16;0;0;0;0;1.62477e-12;0.145888;0.943142;4.71537
9004;0.0209452;198.546;662.567;34.8025;54.344;8.95955;60.3898;112.752;57.9993;4.91996;0.883176;0.388642;0;0;0;0;0;0;0.131445;0.135414;0.224191;0.321952;0.689489;0.889555;2.24959;2.02541;1.65912;1.44155;3.87767;0;0;0;0;0;0;0;0;0;7.29139;5.67832;0;3.83039;3.10744;6.02333;7.72552;41.5965;21.3219;8.02874;1.58397e-16;0;0;0;0;1.80886e-12;0.153417;0.988313;4.9374
9005;0.0395603;206.537;619.327;317.207;19.8549;39.5589;53.9823;38.31;35.7739;16.8914;1.94264;0.96856;0;0;0;0;0;0;16.5274;15.9716;14.4632;17.9062;0.746238;0.149176;0.133117;0.0991448;0.0715239;0.214092;1.34443;0;0;0;0;0;0;0;0;0;4.68986;3.46745;0;2.33799;1.94208;3.97034;5.2383;28.4086;15.0634;6.31381;1.35964e-16;0;0;0;0;1.86606e-12;0.153009;0.983491;4.98333
9006;0.0244121;201.614;662.609;24.5776;51.9645;9.66985;60.3942;0.00037797;0.00184628;146.226;37.3943;20.9965;0;0;0;0;0;0;5.38576;5.31605;5.51499;6.94569;3.10139;0.531154;0.173251;0.0839354;0.0611269;0.168742;1.05695;0;0;0;0;0;0;0;0;0;3.99196;2.32113;0;1.46416;1.1967;2.527;3.42334;18.9963;10.2044;4.6073;1.05955e-16;0;0;0;0;1.78198e-12;0.142966;0.917506;4.72332
9007;0.0242434;201.995;637.888;130.718;40.5005;16.1906;56.6616;8.91847e-05;0.000506185;68.0111;78.8295;58.112;0;0;0;0;0;0;0.849508;0.858113;1.05771;1.38854;20.8305;5.20011;1.19524;0.389091;0.278932;0.360168;1.64892;0;0;0;0;0;0;0;0;0;5.04802;2.23237;0;1.2217;0.887755;1.89143;2.59862;14.6647;7.28651;3.48473;8.41514e-17;0;0;0;0;1.64101e-12;0.129241;0.828317;4.31541
9008;0.0282763;201.56;635.215;159.749;38.3818;18.2237;56.2571;0.000289481;0.00129083;1.21699;89.7053;90.0432;0;0;0;0;0;0;0.130128;0.134546;0.202363;0.28196;7.21145;13.1968;10.1017;3.15001;2.24051;1.19777;3.13223;0;0;0;0;0;0;0;0;0;13.9186;4.56213;0;1.96977;1.05722;2.04939;2.73709;15.231;6.60859;3.11226;7.36055e-17;0;0;0;0;1.64251e-12;0.122395;0.781701;4.02861
9009;0.0578392;201.453;598.704;324.328;14.1449;34.864;50.7754;0.0237162;0.0808885;0.89506;43.4829;41.5698;0;0;0;0;0;0;0.0179745;0.019018;0.0373698;0.0573464;0.269407;7.07637;37.9007;16.041;11.7264;3.44678;5.64745;0;0;0;0;0;0;0;0;0;16.8381;9.79925;0;4.99746;2.22223;3.71319;4.59056;24.1206;10.0817;3.97441;8.2384e-17;0;0;0;0;1.93702e-12;0.129487;0.821536;4.04914
9010;0.0284563;192.62;612.539;149.026;29.344;19.2436;52.7784;32.9988;65.7698;4.36182;17.2063;10.3306;0;0;0;0;0;0;0.0140859;0.0156998;0.0409236;0.0681223;0.0108871;0.649965;10.4041;10.5513;8.64349;3.85576;7.37717;0;0;0;0;0;0;0;0;0;11.1244;16.1943;0;11.8134;5.4494;8.32263;9.49446;45.7535;18.5674;5.99863;1.09697e-16;0;0;0;0;2.80045e-12;0.164636;1.03666;4.72348
