t;N;D;PP;SP;PR;SR;TR;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50
9000;0.0203036;199.304;660.433;30.336;55.8102;6.51547;60.0692;0;0;5.75877e-05;3.56465e-05;9.19312;23.3925;23.2245;0;0;0;0;0;0;0.114255;0.123927;0.219381;0.294303;1.90749;0.264299;0.0485994;0.0536591;0.0450419;0.0924284;0.336821;0;0;0;0;0;0;0;0;0;0.534002;0.184404;0;0.0875232;0.0628448;0.116373;0.157915;0.938669;0.516344;0.228603;4.58048e-18;0;0;0;0;5.23358e-14;0.00480711
9001;0.0218111;202.696;656.279;68.4661;51.5073;9.21059;59.4433;0;0;0.000171499;9.1039e-05;5.87743;22.5651;23.0645;0;0;0;0;0;0;0.0176879;0.0196266;0.0420041;0.0595099;3.23956;1.11464;0.497037;0.448186;0.365886;0.285926;0.621667;0;0;0;0;0;0;0;0;0;0.556198;0.157226;0;0.0674432;0.0450866;0.0866424;0.120404;0.729041;0.381641;0.186346;4.04772e-18;0;0;0;0;4.86026e-14;0.00432059
9002;0.0298073;204.803;630.918;210.941;33.695;22.9138;55.621;0;0;0.00122308;0.000537762;1.59914;15.8299;16.2642;0;0;0;0;0;0;0.00273869;0.00311138;0.00807706;0.012119;1.68337;3.33286;5.19867;4.15444;3.31972;0.970505;1.16122;0;0;0;0;0;0;0;0;0;0.758912;0.210132;0;0.0878964;0.0556607;0.106705;0.146678;0.886185;0.450071;0.210819;4.49404e-18;0;0;0;0;4.69019e-14;0.00398239
9003;0.0724438;202.524;596.519;303.29;9.52743;35.2689;50.276;0;0;1.9972;0.53377;1.81208;3.27316;1.91122;0;0;0;0;0;0;0.000796251;0.000902967;0.00262564;0.00415212;0.396387;2.16552;9.17843;7.79001;6.40943;1.42575;1.46491;0;0;0;0;0;0;0;0;0;0.831566;0.459212;0;0.257766;0.180758;0.322056;0.404415;2.33173;1.10278;0.383848;6.73087e-18;0;0;0;0;5.08583e-14;0.00406773
9004;0.0209452;198.546;662.567;34.8025;54.344;8.95955;60.3898;0;0;38.6851;14.8243;0.678793;0.108421;0.0472865;0;0;0;0;0;0;0.0913227;0.0926404;0.135362;0.188491;0.271551;0.247887;0.46265;0.343404;0.257586;0.185153;0.418019;0;0;0;0;0;0;0;0;0;0.541598;0.395307;0;0.252261;0.188324;0.337575;0.417389;2.4347;1.13788;0.39279;7.0681e-18;0;0;0;0;5.69149e-14;0.00435173
9005;0.0395603;206.537;619.327;317.207;19.8549;39.5589;53.9823;0;0;8.9402;8.00194;2.5538;0.240574;0.118413;0;0;0;0;0;0;9.47601;9.04163;7.41965;9.01102;0.27545;0.0434411;0.0299208;0.0193243;0.0134414;0.0319542;0.153205;0;0;0;0;0;0;0;0;0;0.372296;0.23998;0;0.149014;0.111887;0.20829;0.264162;1.51068;0.740852;0.286104;5.58931e-18;0;0;0;0;5.52425e-14;0.00411111
9006;0.0244121;201.614;662.609;24.5776;51.9645;9.66985;60.3942;0;0;6.68601e-05;0.00031814;42.995;5.97716;2.99196;0;0;0;0;0;0;1.16837;1.13669;1.09051;1.35874;1.49489;0.264479;0.074407;0.031764;0.0228656;0.0435098;0.200504;0;0;0;0;0;0;0;0;0;0.313105;0.161461;0;0.0940722;0.0693492;0.133591;0.173798;0.990023;0.494378;0.206822;4.31834e-18;0;0;0;0;5.10056e-14;0.00371867
9007;0.0242434;201.995;637.888;130.718;40.5005;16.1906;56.6616;0;0;1.57761e-05;8.7222e-05;14.1224;15.9173;10.4607;0;0;0;0;0;0;0.181243;0.180501;0.205746;0.266158;9.18241;2.35384;0.527986;0.158239;0.112247;0.101868;0.343226;0;0;0;0;0;0;0;0;0;0.498799;0.1898;0;0.0928306;0.0580654;0.110955;0.145339;0.823908;0.364228;0.161035;3.50432e-18;0;0;0;0;4.70425e-14;0.00334831
9008;0.0282763;201.56;635.215;159.749;38.3818;18.2237;56.2571;0;0;5.1207e-05;0.000222428;0.162927;19.1042;19.1144;0;0;0;0;0;0;0.0276902;0.0282269;0.0392414;0.0538293;1.39098;5.10285;4.48632;1.31807;0.92798;0.352351;0.665711;0;0;0;0;0;0;0;0;0;1.31944;0.399917;0;0.160967;0.0754833;0.130578;0.16541;0.919913;0.372443;0.157596;3.27496e-18;0;0;0;0;5.15214e-14;0.00337052
9009;0.0578392;201.453;598.704;324.328;14.1449;34.864;50.7754;0;0;0.00419604;0.0139474;0.11951;7.21924;6.78796;0;0;0;0;0;0;0.00383865;0.00400533;0.00728023;0.0109978;0.049888;2.24881;14.3603;5.65882;4.0889;0.897037;1.12657;0;0;0;0;0;0;0;0;0;1.39988;0.915641;0;0.47137;0.190694;0.286256;0.333616;1.75972;0.679318;0.23036;4.09092e-18;0;0;0;0;6.69441e-14;0.00388952
